0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5.014,5.014,5.014,5.014,5.014,5.014,5.014,5.014,5.014,5.014,5.014,5.014,5.014,5.014,5.014,5.014,5.014,5.014,5.014,5.014,5.014,5.014,5.014,5.014,5.014,5.014,5.014,5.014,5.014,5.014,5.014,5.014,5.014,5.014,5.014,5.014,5.014,5.014,5.014,5.014,5.014,5.014,5.014,5.014,5.014,5.014,5.014,5.014,5.014,5.014,5.014,5.014,5.014,5.014,5.014,5.014,5.014,5.014,5.014,5.014,5.014,5.014,5.014,5.014,5.014,5.014,5.014,5.014,5.014,5.014,5.014,5.014,5.014,5.014,5.014,5.014,5.014,5.014,5.014,5.014,5.014,5.014,5.014,5.014,5.014,5.014,5.014,5.014,5.014,5.014,5.014,5.014,5.014,5.014,5.014,5.014,5.014,5.014,5.014,5.014,5.014,5.014,5.014,5.014,5.014,5.014,5.014,5.014,5.014,5.014,5.014,5.014,5.014,5.014,5.014,5.014,5.014,5.014,5.014,5.014,5.014,5.014,5.014,5.014,5.014,5.014,5.014,5.014,5.014,5.014,5.014,5.014,5.014,5.014,5.014,5.014,5.014,5.014,5.014,5.014,5.014,5.014,5.014,5.014,5.014,5.014,5.014,5.014,5.014,5.014,5.014,5.014,5.014,5.014,5.014,5.014,5.014,5.014,5.014,5.014,5.014,5.014,5.014,5.014,5.014,5.014,5.014,5.014,5.014,5.014,5.014,5.014,5.014,5.014,5.014,5.014,5.014,5.014,5.014,5.014,5.014,5.014,5.014,5.014,5.014,5.014,5.014,5.014,5.014,5.014,5.014,5.014,5.014,5.014,5.014,5.014,5.014,5.014,5.014,5.014,5.014
9.987,9.987,9.987,9.987,9.987,9.987,9.987,9.987,9.987,9.987,9.987,9.987,9.987,9.987,9.987,9.987,9.987,9.987,9.987,9.987,9.987,9.987,9.987,9.987,9.987,9.987,9.987,9.987,9.987,9.987,9.987,9.987,9.987,9.987,9.987,9.987,9.987,9.987,9.987,9.987,9.987,9.987,9.987,9.987,9.987,9.987,9.987,9.987,9.987,9.987,9.987,9.987,9.987,9.987,9.987,9.987,9.987,9.987,9.987,9.987,9.987,9.987,9.987,9.987,9.987,9.987,9.987,9.987,9.987,9.987,9.987,9.987,9.987,9.987,9.987,9.987,9.987,9.987,9.987,9.987,9.987,9.987,9.987,9.987,9.987,9.987,9.987,9.987,9.987,9.987,9.987,9.987,9.987,9.987,9.987,9.987,9.987,9.987,9.987,9.987,9.987,9.987,9.987,9.987,9.987,9.987,9.987,9.987,9.987,9.987,9.987,9.987,9.987,9.987,9.987,9.987,9.987,9.987,9.987,9.987,9.987,9.987,9.987,9.987,9.987,9.987,9.987,9.987,9.987,9.987,9.987,9.987,9.987,9.987,9.987,9.987,9.987,9.987,9.987,9.987,9.987,9.987,9.987,9.987,9.987,9.987,9.987,9.987,9.987,9.987,9.987,9.987,9.987,9.987,9.987,9.987,9.987,9.987,9.987,9.987,9.987,9.987,9.987,9.987,9.987,9.987,9.987,9.987,9.987,9.987,9.987,9.987,9.987,9.987,9.987,9.987,9.987,9.987,9.987,9.987,9.987,9.987,9.987,9.987,9.987,9.987,9.987,9.987,9.987,9.987,9.987,9.987,9.987,9.987,9.987,9.987,9.987,9.987,9.987,9.987,9.987
15.004,15.004,15.004,15.004,15.004,15.004,15.004,15.004,15.004,15.004,15.004,15.004,15.004,15.004,15.004,15.004,15.004,15.004,15.004,15.004,15.004,15.004,15.004,15.004,15.004,15.004,15.004,15.004,15.004,15.004,15.004,15.004,15.004,15.004,15.004,15.004,15.004,15.004,15.004,15.004,15.004,15.004,15.004,15.004,15.004,15.004,15.004,15.004,15.004,15.004,15.004,15.004,15.004,15.004,15.004,15.004,15.004,15.004,15.004,15.004,15.004,15.004,15.004,15.004,15.004,15.004,15.004,15.004,15.004,15.004,15.004,15.004,15.004,15.004,15.004,15.004,15.004,15.004,15.004,15.004,15.004,15.004,15.004,15.004,15.004,15.004,15.004,15.004,15.004,15.004,15.004,15.004,15.004,15.004,15.004,15.004,15.004,15.004,15.004,15.004,15.004,15.004,15.004,15.004,15.004,15.004,15.004,15.004,15.004,15.004,15.004,15.004,15.004,15.004,15.004,15.004,15.004,15.004,15.004,15.004,15.004,15.004,15.004,15.004,15.004,15.004,15.004,15.004,15.004,15.004,15.004,15.004,15.004,15.004,15.004,15.004,15.004,15.004,15.004,15.004,15.004,15.004,15.004,15.004,15.004,15.004,15.004,15.004,15.004,15.004,15.004,15.004,15.004,15.004,15.004,15.004,15.004,15.004,15.004,15.004,15.004,15.004,15.004,15.004,15.004,15.004,15.004,15.004,15.004,15.004,15.004,15.004,15.004,15.004,15.004,15.004,15.004,15.004,15.004,15.004,15.004,15.004,15.004,15.004,15.004,15.004,15.004,15.004,15.004,15.004,15.004,15.004,15.004,15.004,15.004,15.004,15.004,15.004,15.004,15.004,15.004
20.014,20.014,20.014,20.014,20.014,20.014,20.014,20.014,20.014,20.014,20.014,20.014,20.014,20.014,20.014,20.014,20.014,20.014,20.014,20.014,20.014,20.014,20.014,20.014,20.014,20.014,20.014,20.014,20.014,20.014,20.014,20.014,20.014,20.014,20.014,20.014,20.014,20.014,20.014,20.014,20.014,20.014,20.014,20.014,20.014,20.014,20.014,20.014,20.014,20.014,20.014,20.014,20.014,20.014,20.014,20.014,20.014,20.014,20.014,20.014,20.014,20.014,20.014,20.014,20.014,20.014,20.014,20.014,20.014,20.014,20.014,20.014,20.014,20.014,20.014,20.014,20.014,20.014,20.014,20.014,20.014,20.014,20.014,20.014,20.014,20.014,20.014,20.014,20.014,20.014,20.014,20.014,20.014,20.014,20.014,20.014,20.014,20.014,20.014,20.014,20.014,20.014,20.014,20.014,20.014,20.014,20.014,20.014,20.014,20.014,20.014,20.014,20.014,20.014,20.014,20.014,20.014,20.014,20.014,20.014,20.014,20.014,20.014,20.014,20.014,20.014,20.014,20.014,20.014,20.014,20.014,20.014,20.014,20.014,20.014,20.014,20.014,20.014,20.014,20.014,20.014,20.014,20.014,20.014,20.014,20.014,20.014,20.014,20.014,20.014,20.014,20.014,20.014,20.014,20.014,20.014,20.014,20.014,20.014,20.014,20.014,20.014,20.014,20.014,20.014,20.014,20.014,20.014,20.014,20.014,20.014,20.014,20.014,20.014,20.014,20.014,20.014,20.014,20.014,20.014,20.014,20.014,20.014,20.014,20.014,20.014,20.014,20.014,20.014,20.014,20.014,20.014,20.014,20.014,20.014,20.014,20.014,20.014,20.014,20.014,20.014
25.006,25.006,25.006,25.006,25.006,25.006,25.006,25.006,25.006,25.006,25.006,25.006,25.006,25.006,25.006,25.006,25.006,25.006,25.006,25.006,25.006,25.006,25.006,25.006,25.006,25.006,25.006,25.006,25.006,25.006,25.006,25.006,25.006,25.006,25.006,25.006,25.006,25.006,25.006,25.006,25.006,25.006,25.006,25.006,25.006,25.006,25.006,25.006,25.006,25.006,25.006,25.006,25.006,25.006,25.006,25.006,25.006,25.006,25.006,25.006,25.006,25.006,25.006,25.006,25.006,25.006,25.006,25.006,25.006,25.006,25.006,25.006,25.006,25.006,25.006,25.006,25.006,25.006,25.006,25.006,25.006,25.006,25.006,25.006,25.006,25.006,25.006,25.006,25.006,25.006,25.006,25.006,25.006,25.006,25.006,25.006,25.006,25.006,25.006,25.006,25.006,25.006,25.006,25.006,25.006,25.006,25.006,25.006,25.006,25.006,25.006,25.006,25.006,25.006,25.006,25.006,25.006,25.006,25.006,25.006,25.006,25.006,25.006,25.006,25.006,25.006,25.006,25.006,25.006,25.006,25.006,25.006,25.006,25.006,25.006,25.006,25.006,25.006,25.006,25.006,25.006,25.006,25.006,25.006,25.006,25.006,25.006,25.006,25.006,25.006,25.006,25.006,25.006,25.006,25.006,25.006,25.006,25.006,25.006,25.006,25.006,25.006,25.006,25.006,25.006,25.006,25.006,25.006,25.006,25.006,25.006,25.006,25.006,25.006,25.006,25.006,25.006,25.006,25.006,25.006,25.006,25.006,25.006,25.006,25.006,25.006,25.006,25.006,25.006,25.006,25.006,25.006,25.006,25.006,25.006,25.006,25.006,25.006,25.006,25.006,25.006
30.008,30.008,30.008,30.008,30.008,30.008,30.008,30.008,30.008,30.008,30.008,30.008,30.008,30.008,30.008,30.008,30.008,30.008,30.008,30.008,30.008,30.008,30.008,30.008,30.008,30.008,30.008,30.008,30.008,30.008,30.008,30.008,30.008,30.008,30.008,30.008,30.008,30.008,30.008,30.008,30.008,30.008,30.008,30.008,30.008,30.008,30.008,30.008,30.008,30.008,30.008,30.008,30.008,30.008,30.008,30.008,30.008,30.008,30.008,30.008,30.008,30.008,30.008,30.008,30.008,30.008,30.008,30.008,30.008,30.008,30.008,30.008,30.008,30.008,30.008,30.008,30.008,30.008,30.008,30.008,30.008,30.008,30.008,30.008,30.008,30.008,30.008,30.008,30.008,30.008,30.008,30.008,30.008,30.008,30.008,30.008,30.008,30.008,30.008,30.008,30.008,30.008,30.008,30.008,30.008,30.008,30.008,30.008,30.008,30.008,30.008,30.008,30.008,30.008,30.008,30.008,30.008,30.008,30.008,30.008,30.008,30.008,30.008,30.008,30.008,30.008,30.008,30.008,30.008,30.008,30.008,30.008,30.008,30.008,30.008,30.008,30.008,30.008,30.008,30.008,30.008,30.008,30.008,30.008,30.008,30.008,30.008,30.008,30.008,30.008,30.008,30.008,30.008,30.008,30.008,30.008,30.008,30.008,30.008,30.008,30.008,30.008,30.008,30.008,30.008,30.008,30.008,30.008,30.008,30.008,30.008,30.008,30.008,30.008,30.008,30.008,30.008,30.008,30.008,30.008,30.008,30.008,30.008,30.008,30.008,30.008,30.008,30.008,30.008,30.008,30.008,30.008,30.008,30.008,30.008,30.008,30.008,30.008,30.008,30.008,30.008
35.015,35.015,35.015,35.015,35.015,35.015,35.015,35.015,35.015,35.015,35.015,35.015,35.015,35.015,35.015,35.015,35.015,35.015,35.015,35.015,35.015,35.015,35.015,35.015,35.015,35.015,35.015,35.015,35.015,35.015,35.015,35.015,35.015,35.015,35.015,35.015,35.015,35.015,35.015,35.015,35.015,35.015,35.015,35.015,35.015,35.015,35.015,35.015,35.015,35.015,35.015,35.015,35.015,35.015,35.015,35.015,35.015,35.015,35.015,35.015,35.015,35.015,35.015,35.015,35.015,35.015,35.015,35.015,35.015,35.015,35.015,35.015,35.015,35.015,35.015,35.015,35.015,35.015,35.015,35.015,35.015,35.015,35.015,35.015,35.015,35.015,35.015,35.015,35.015,35.015,35.015,35.015,35.015,35.015,35.015,35.015,35.015,35.015,35.015,35.015,35.015,35.015,35.015,35.015,35.015,35.015,35.015,35.015,35.015,35.015,35.015,35.015,35.015,35.015,35.015,35.015,35.015,35.015,35.015,35.015,35.015,35.015,35.015,35.015,35.015,35.015,35.015,35.015,35.015,35.015,35.015,35.015,35.015,35.015,35.015,35.015,35.015,35.015,35.015,35.015,35.015,35.015,35.015,35.015,35.015,35.015,35.015,35.015,35.015,35.015,35.015,35.015,35.015,35.015,35.015,35.015,35.015,35.015,35.015,35.015,35.015,35.015,35.015,35.015,35.015,35.015,35.015,35.015,35.015,35.015,35.015,35.015,35.015,35.015,35.015,35.015,35.015,35.015,35.015,35.015,35.015,35.015,35.015,35.015,35.015,35.015,35.015,35.015,35.015,35.015,35.015,35.015,35.015,35.015,35.015,35.015,35.015,35.015,35.015,35.015,35.015
39.994,39.994,39.994,39.994,39.994,39.994,39.994,39.994,39.994,39.994,39.994,39.994,39.994,39.994,39.994,39.994,39.994,39.994,39.994,39.994,39.994,39.994,39.994,39.994,39.994,39.994,39.994,39.994,39.994,39.994,39.994,39.994,39.994,39.994,39.994,39.994,39.994,39.994,39.994,39.994,39.994,39.994,39.994,39.994,39.994,39.994,39.994,39.994,39.994,39.994,39.994,39.994,39.994,39.994,39.994,39.994,39.994,39.994,39.994,39.994,39.994,39.994,39.994,39.994,39.994,39.994,39.994,39.994,39.994,39.994,39.994,39.994,39.994,39.994,39.994,39.994,39.994,39.994,39.994,39.994,39.994,39.994,39.994,39.994,39.994,39.994,39.994,39.994,39.994,39.994,39.994,39.994,39.994,39.994,39.994,39.994,39.994,39.994,39.994,39.994,39.994,39.994,39.994,39.994,39.994,39.994,39.994,39.994,39.994,39.994,39.994,39.994,39.994,39.994,39.994,39.994,39.994,39.994,39.994,39.994,39.994,39.994,39.994,39.994,39.994,39.994,39.994,39.994,39.994,39.994,39.994,39.994,39.994,39.994,39.994,39.994,39.994,39.994,39.994,39.994,39.994,39.994,39.994,39.994,39.994,39.994,39.994,39.994,39.994,39.994,39.994,39.994,39.994,39.994,39.994,39.994,39.994,39.994,39.994,39.994,39.994,39.994,39.994,39.994,39.994,39.994,39.994,39.994,39.994,39.994,39.994,39.994,39.994,39.994,39.994,39.994,39.994,39.994,39.994,39.994,39.994,39.994,39.994,39.994,39.994,39.994,39.994,39.994,39.994,39.994,39.994,39.994,39.994,39.994,39.994,39.994,39.994,39.994,39.994,39.994,39.994
45.008,45.008,45.008,45.008,45.008,45.008,45.008,45.008,45.008,45.008,45.008,45.008,45.008,45.008,45.008,45.008,45.008,45.008,45.008,45.008,45.008,45.008,45.008,45.008,45.008,45.008,45.008,45.008,45.008,45.008,45.008,45.008,45.008,45.008,45.008,45.008,45.008,45.008,45.008,45.008,45.008,45.008,45.008,45.008,45.008,45.008,45.008,45.008,45.008,45.008,45.008,45.008,45.008,45.008,45.008,45.008,45.008,45.008,45.008,45.008,45.008,45.008,45.008,45.008,45.008,45.008,45.008,45.008,45.008,45.008,45.008,45.008,45.008,45.008,45.008,45.008,45.008,45.008,45.008,45.008,45.008,45.008,45.008,45.008,45.008,45.008,45.008,45.008,45.008,45.008,45.008,45.008,45.008,45.008,45.008,45.008,45.008,45.008,45.008,45.008,45.008,45.008,45.008,45.008,45.008,45.008,45.008,45.008,45.008,45.008,45.008,45.008,45.008,45.008,45.008,45.008,45.008,45.008,45.008,45.008,45.008,45.008,45.008,45.008,45.008,45.008,45.008,45.008,45.008,45.008,45.008,45.008,45.008,45.008,45.008,45.008,45.008,45.008,45.008,45.008,45.008,45.008,45.008,45.008,45.008,45.008,45.008,45.008,45.008,45.008,45.008,45.008,45.008,45.008,45.008,45.008,45.008,45.008,45.008,45.008,45.008,45.008,45.008,45.008,45.008,45.008,45.008,45.008,45.008,45.008,45.008,45.008,45.008,45.008,45.008,45.008,45.008,45.008,45.008,45.008,45.008,45.008,45.008,45.008,45.008,45.008,45.008,45.008,45.008,45.008,45.008,45.008,45.008,45.008,45.008,45.008,45.008,45.008,45.008,45.008,45.008
