4,2,4
4.022,2,4
4.054,2,4
4.085,2,4
4.116,2,4
4.148,2,4
4.178,2,4
4.209,2,4
4.24,2,4
4.271,2,4
4.3,2,4
4.33,2,4
4.36,2,4
4.389,2,4
4.418,2,4
4.446,2,4
4.474,2,4
4.502,2,4
4.528,2,4
4.554,2,4
4.581,2,4
4.606,2,4
4.631,2,4
4.654,2,4
4.678,2,4
4.701,2,4
4.723,2,4
4.744,2,4
4.765,2,4
4.785,2,4
4.804,2,4
4.822,2,4
4.839,2,4
4.856,2,4
4.872,2,4
4.887,2,4
4.901,2,4
4.914,2,4
4.926,2,4
4.938,2,4
4.948,2,4
4.958,2,4
4.966,2,4
4.974,2,4
4.98,2,4
4.986,2,4
4.991,2,4
4.995,2,4
4.997,2,4
4.999,2,4
5,2,4
5,2,4
4.998,2,4
4.996,2,4
4.993,2,4
4.989,2,4
4.984,2,4
4.978,2,4
4.971,2,4
4.963,2,4
4.954,2,4
4.944,2,4
4.933,2,4
4.921,2,4
4.908,2,4
4.895,2,4
4.88,2,4
4.865,2,4
4.849,2,4
4.832,2,4
4.814,2,4
4.796,2,4
4.776,2,4
4.756,2,4
4.735,2,4
4.713,2,4
4.691,2,4
4.668,2,4
4.644,2,4
4.62,2,4
4.595,2,4
4.57,2,4
4.543,2,4
4.517,2,4
4.49,2,4
4.462,2,4
4.434,2,4
4.405,2,4
4.376,2,4
4.347,2,4
4.317,2,4
4.288,2,4
4.258,2,4
4.227,2,4
4.196,2,4
4.165,2,4
4.134,2,4
4.103,2,4
4.072,2,4
4.04,2,4
4.009,2,4
3.977,2,4
3.946,2,4
3.915,2,4
3.884,2,4
3.852,2,4
3.821,2,4
3.791,2,4
3.76,2,4
3.73,2,4
3.699,2,4
3.67,2,4
3.641,2,4
3.611,2,4
3.583,2,4
3.554,2,4
3.527,2,4
3.499,2,4
3.472,2,4
3.446,2,4
3.42,2,4
3.395,2,4
3.37,2,4
3.346,2,4
3.322,2,4
3.3,2,4
3.278,2,4
3.256,2,4
3.236,2,4
3.216,2,4
3.197,2,4
3.179,2,4
3.161,2,4
3.145,2,4
3.129,2,4
3.114,2,4
3.1,2,4
3.087,2,4
3.074,2,4
3.063,2,4
3.052,2,4
3.043,2,4
3.034,2,4
3.027,2,4
3.02,2,4
3.014,2,4
3.01,2,4
3.006,2,4
3.003,2,4
3.001,2,4
3.001,2,4
3.001,2,4
3.002,2,4
3.004,2,4
3.007,2,4
3.011,2,4
3.016,2,4
3.022,2,4
3.029,2,4
3.037,2,4
3.046,2,4
3.056,2,4
3.067,2,4
3.079,2.36,4
3.091,2.756,4
3.105,2.775,4
3.119,2.789,4
3.134,2.801,4
3.151,2.812,4
3.168,2.82,4
3.185,2.827,4
3.204,2.833,4
3.223,2.838,4
3.244,2.842,4
3.265,2.844,4
3.286,2.846,4
3.309,2.848,4
3.332,2.848,4
3.355,2.849,4
3.379,2.848,4
3.405,2.847,4
3.43,2.846,4
3.457,2.843,4
3.483,2.841,4
3.51,2.838,4
3.538,2.834,4
3.566,2.831,4
3.595,2.826,4
3.624,2.822,4
3.653,2.817,4
3.682,2.812,4
3.712,2.806,4
3.742,2.801,4
3.773,2.795,4
3.804,2.788,4
3.834,2.782,4
3.866,2.775,4
3.897,2.768,4
3.928,2.76,4
3.96,2.753,4
3.991,2.745,4
4.023,2.737,4
4.054,2.729,4
4.085,2.721,4
4.116,2.712,4
4.147,2.704,4
4.179,2.695,4
4.209,2.686,4
4.24,2.677,4
4.27,2.668,4
4.301,2.658,4
4.33,2.649,4
4.36,2.639,4
4.389,2.63,4
4.418,2.62,4
4.446,2.61,4
4.474,2.6,4
4.501,2.59,4
4.528,2.58,4
4.555,2.57,4
4.581,2.559,4
4.606,2.549,4
4.63,2.538,4
4.655,2.528,4
4.678,2.517,4
4.701,2.506,4
4.723,2.496,4
4.744,2.485,4
4.765,2.474,4
4.785,2.463,4
4.804,2.452,4
4.822,2.441,4
4.839,2.43,4
4.856,2.419,4
4.872,2.408,4
4.887,2.397,4
4.901,2.386,4
4.914,2.375,4
4.926,2.364,4
4.938,2.352,4
4.948,2.341,4
